NDUFA6	NDUFA10
ATP5F1	ATP5I
NDUFS2	NDUFA2
ATP5F1	ATP5J2
NDUFS2	NDUFS3
DAP3	MRPS5
NDUFS2	NDUFS7
NDUFA6	NDUFS7
MRPL47	MRPL13
NDUFA6	NDUFS3
MRPL19	ICT1
MRPL40	MRPL46
NDUFA6	NDUFS5
NDUFS1	NDUFA2
NDUFS1	NDUFV1
CASP8	BID
MRPS2	DAP3
NDUFV1	NDUFA2
UQCRQ	UQCRC2
NDUFS4	NDUFS3
NDUFS2	NDUFAF3
NDUFA6	NDUFB8
MRPL2	MRPL13
NDUFB6	NDUFB5
ATP5F1	ATP5B
NDUFB2	NDUFA6
NDUFS6	NDUFA2
COX6C	MT-CO2
NDUFS1	NDUFS3
ATP5A1	ATP5F1
NDUFA6	NDUFV2
MT-ND5	NDUFV1
MT-ND1	NDUFS3
NDUFA6	NDUFS6
MRPL43	MRPL44
NDUFA6	NDUFB11
NDUFB5	NDUFA2
MT-CO2	COX5A
MRPL13	MRPL15
UQCR10	CYC1
MRPL47	MRPL19
BCL2L11	BCL2L1
NDUFS8	NDUFA2
MT-ND1	NDUFV1
NDUFA12	NDUFA2
NDUFV2	NDUFA2
NDUFAB1	NDUFA6
NDUFS3	NDUFB4
MRPS2	PTCD3
MRPS9	MRPS35
NDUFA6	NDUFB10
PDHA1	PDHB
ATP5F1	ATP5C1
NDUFS4	NDUFB10
MT-ND5	NDUFV2
NDUFA6	NDUFV1
MT-ND1	NDUFA2
MRPS2	MRPS5
UQCRC2	UQCRC1
NDUFA13	NDUFA2
MRPL40	MRPL15
MRPL2	MRPL9
TIMM9	TIMM10
ATP5J	ATP5F1
MRPL3	MRPL15
NDUFA6	NDUFA8
CASP8	CASP3
MRPL20	MRPL4
MRPL13	MRPL16
UQCRB	UQCRC1
NDUFS5	NDUFA2
MT-ND4	NDUFA2
NDUFA6	NDUFB1
COX7C	MT-CO2
NDUFV2	NDUFS3
MRPL3	MRPL4
NDUFA11	NDUFA2
DAP3	MRPS18B
NDUFA4	NDUFA2
NDUFA6	MT-ND4
NDUFA8	NDUFA2
NDUFB8	NDUFA2
NDUFA6	NDUFA11
MT-CO2	COX6B1
NDUFA7	NDUFA2
NDUFA6	NDUFS2
MRPL9	MRPL32
NDUFA6	NDUFA12
NDUFA6	NDUFB4
NDUFS8	NDUFS4
NDUFV2	NDUFS6
NDUFA6	NDUFB3
NDUFA2	NDUFS7
MRPL9	MRPL17
DAP3	MRPS35
MRPS16	MRPS9
NDUFA9	NDUFA2
ATP5F1	ATP5H
MRPL15	MRPL4
PTCD3	MRPS35
ATP5F1	ATP5L
MRPS2	MRPS23
NDUFA6	NDUFA2
MRPS2	MRPS35
NDUFS6	NDUFS3
NDUFS2	NDUFV2
AKT1	GSK3B
MRPL3	MRPS9
NDUFA7	NDUFS4
NDUFV1	NDUFB4
NDUFA6	NDUFS8
NDUFV1	NDUFS8
MRPL16	MRPL15
NDUFA6	NDUFB5
MRPS5	MRPS10
NDUFA6	MT-ND1
HADHA	HADHB
UQCRQ	UQCRC1
NDUFS8	NDUFS7
NDUFAF3	NDUFS3
PMPCA	PMPCB
NDUFS1	NDUFS6
NDUFA6	NDUFC2
CASP7	CASP8
NDUFA6	NDUFB6
COX4I1	MT-CO2
MRPS2	MRPS18B
NDUFA6	NDUFA9
NDUFA6	NDUFS4
ATP5F1	ATP5D
MRPL19	MRPL16
MRPS23	PTCD3
NDUFAF4	NDUFAF3
NDUFV2	NDUFS4
DAP3	MRPS10
NDUFB10	NDUFA2
IDH3A	IDH3G
MRPL9	MRPL24
NDUFA6	NDUFA5
MRPS23	MRPS31
NDUFS4	NDUFA2
MT-ND5	NDUFS3
MRPS31	MRPS35
MRPS31	PTCD3
UQCRQ	MT-CYB
MRPS23	MRPS35
NDUFS2	NDUFV1
NDUFB11	NDUFA2
MRPS15	MRPS5
NDUFS8	NDUFS3
NDUFA6	NDUFB7
NDUFC2	NDUFA2
DAP3	MRPS9
NDUFA6	NDUFV3
MRPS5	MRPS35
NDUFA13	NDUFA6
MRPS22	PTCD3
NDUFA6	NDUFA7
MRPL40	MRPL16
DAP3	MRPS23
NDUFA6	NDUFA4
NDUFS1	MT-ND1
NDUFA6	NDUFA3
NDUFA6	NDUFA1
MRPS16	MRPS2
NDUFB9	NDUFA2
MRPS2	MRPS9
NDUFV2	NDUFV1
NDUFS1	NDUFV2
DAP3	PTCD3
MRPL19	MRPL13
NDUFS3	NDUFA2
MRPL13	MRPL3
NDUFA6	MT-ND5
UQCR10	UQCRC1
NDUFS1	NDUFS2
MT-CYB	UQCRFS1
MRPS22	MRPS2
NDUFA2	NDUFB3
NDUFV1	NDUFS3
NDUFA7	NDUFS3
MRPL47	MRPL2
